YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,QV2M,RH2M,PRECTOTCORR
2002,1,29,96.83,3.8,6.46,1.89,4.58,292.62,5.48,7.74,3.71,4.02,292.75,18.01,93.75,63.4
2002,1,30,96.92,3.46,5.44,1.37,4.08,318.75,4.93,6.48,2.45,4.02,318.94,17.46,93.19,29.26
2002,1,31,96.93,3.23,5.72,1.58,4.14,208.69,4.51,6.67,2.82,3.84,208.56,17.58,92.5,32.91
2002,2,1,96.95,3.3,5.67,1.84,3.84,258.31,4.79,6.74,3.6,3.14,258.94,17.7,93.31,9.82
2002,2,2,96.97,2.99,5.6,0.45,5.15,305.31,4.15,6.66,0.6,6.06,305.31,16.91,90.62,4.66
2002,2,3,96.88,2.94,5.39,0.66,4.74,304.88,3.96,6.27,0.92,5.34,305,17.27,89.88,14.16
2002,2,4,96.87,3.31,5.34,1.8,3.55,287.88,4.91,6.33,3.53,2.8,287.12,16.91,92.88,15.34
2002,2,5,96.82,3.52,6.44,1.74,4.7,297.56,5.02,7.77,3.36,4.41,296.44,17.21,90.94,7.09
2002,2,6,96.8,4.74,7.75,1.88,5.87,324.62,6.54,9.23,3.62,5.6,323.94,17.46,91.25,13.24
2002,2,7,96.84,3.91,6.56,1.98,4.59,312.75,5.57,7.89,3.84,4.05,311.62,17.33,92.62,27.59
2002,2,8,96.79,4.05,7.09,2.18,4.9,303.62,5.81,8.47,3.89,4.58,302.69,17.64,91.31,17.56
2002,2,9,96.75,3.45,6.19,1.82,4.37,299.12,5.09,7.49,3.66,3.84,298.31,17.27,93.75,19.35
2002,2,10,96.72,3.93,6.71,2.13,4.59,301.88,5.73,8.02,4.18,3.85,301.19,17.46,92.62,8.45
2002,2,11,96.83,3.64,6.03,1.48,4.55,305.31,5.16,7.13,2.39,4.73,304.62,17.15,90.12,2.49
2002,2,12,96.89,3.51,7.04,1.27,5.77,325.75,4.84,8.45,2.26,6.2,325.19,17.58,92.81,25.68
2002,2,13,96.88,3.58,5.8,1.73,4.07,290.12,5.16,6.86,2.97,3.89,289.62,17.46,93.62,18.52
2002,2,14,96.94,2.66,5.27,0.91,4.36,288,3.7,6.16,1.3,4.85,288,17.4,92.88,13.72
2002,2,15,96.83,3.12,5.13,1.05,4.09,292.12,4.45,6.1,1.55,4.55,291.62,17.7,93,3.81
2002,2,16,96.83,2.95,5.47,1.59,3.88,294.62,4.18,6.52,2.81,3.71,294.31,17.4,94.19,7.63
2002,2,17,96.93,3.31,5.95,0.95,5,282.12,4.52,6.83,1.45,5.38,267.12,17.21,91.19,8.58
2002,2,18,97.02,3.12,6.42,0.95,5.47,302.31,4.12,7.49,1.42,6.07,302,17.27,92.25,9.09
2002,2,19,97.03,2.54,5.12,0.93,4.2,236.31,3.34,5.73,1.37,4.36,235.81,17.21,89.56,9.25
2002,2,20,96.96,2.92,6.77,0.35,6.41,263.25,3.97,8.32,0.52,7.8,262.56,17.82,94,37.35
2002,2,21,97.03,3.56,5.25,1.54,3.71,305.12,5.19,6.62,2.81,3.82,304,17.76,94.25,14.33
2002,2,22,97.18,3.61,5.47,1.57,3.9,291.62,5.12,6.72,2.63,4.08,291.06,17.09,93.38,4.75
2002,2,23,97.04,2.95,5.29,1.57,3.72,279.56,4.17,6.14,2.66,3.48,279.31,17.46,91.19,1.42
2002,2,24,96.91,2.82,4.5,1.57,2.93,264.44,4.17,5.16,2.88,2.28,263.69,17.46,91.5,6.23
2002,2,25,96.95,2.1,3.96,1.15,2.81,249.56,2.94,4.62,1.76,2.86,247.81,17.27,88.88,2.9
2002,2,26,96.89,1.97,3.2,0.75,2.45,226.44,2.76,3.69,1.25,2.45,224.5,16.97,86.38,0.17
2002,2,27,96.78,2,3.81,0.27,3.54,260.5,2.67,4.12,0.37,3.76,258.5,17.09,85.31,0.08
2002,2,28,96.78,1.31,2.21,0.35,1.85,247.19,1.79,2.74,0.27,2.48,247.62,17.58,85.81,2.62
2002,3,1,96.76,1.88,2.98,1.08,1.91,240.75,2.81,3.65,1.8,1.85,238.5,18.01,90.12,15.16
2002,3,2,96.74,1.64,2.23,0.98,1.24,240.19,2.5,3.51,1.11,2.4,238.31,17.27,88.5,10.08
2002,3,3,96.64,1.73,3.35,0.36,2.99,211.25,2.61,4.69,0.73,3.95,210.31,17.27,82.25,0.45
2002,3,4,96.65,1.43,2.56,0.49,2.07,211.06,2.29,4.77,0.45,4.32,210.06,17.76,86.25,0.09
2002,3,5,96.74,1.72,3.07,0.72,2.34,191.62,2.74,5.08,0.85,4.23,190.69,17.64,85.62,4.21
2002,3,6,96.79,2.24,2.86,1.66,1.2,212.19,3.51,5.16,2.2,2.96,210.88,17.15,83.62,0.14
2002,3,7,96.84,2.16,3.12,1.2,1.91,261.69,3.25,4.95,1.95,3.01,261,16.42,83.88,4.73
2002,3,8,96.9,2.75,5.67,1.2,4.47,274.25,3.89,6.9,1.91,4.98,274.12,17.64,93.25,9.04
2002,3,9,96.92,2.37,3.74,0.8,2.94,301.44,3.36,4.27,1.23,3.04,299.94,17.46,90,3.57
2002,3,10,96.84,2.38,4.8,0.9,3.9,296.88,3.2,5.6,1.25,4.35,296.31,17.82,90.12,4.42
2002,3,11,96.84,2.16,4.2,1.2,3,327.44,2.91,4.66,1.91,2.75,327.31,18.07,91.38,15.08
2002,3,12,96.85,2.02,3.81,0.59,3.23,246.5,2.78,4.38,0.94,3.44,246.19,18.13,90.62,6.2
2002,3,13,96.93,2.38,4.02,1.39,2.63,28.81,3.38,4.54,2.21,2.33,30.31,18.07,91.5,4.68
2002,3,14,96.9,1.94,3.84,0.68,3.16,26.88,2.69,4.49,0.71,3.78,29.5,17.94,87.25,1.35
2002,3,15,96.87,2.48,4.35,0.99,3.37,50.75,3.48,4.84,1.65,3.18,50.56,17.4,87.25,9.78
2002,3,16,96.78,2.11,2.82,1.57,1.25,70.88,3.13,3.41,2.87,0.54,70.81,18.01,89.38,7.67
2002,3,17,96.77,1.91,2.65,1.32,1.33,60.31,2.82,3.56,2.2,1.37,60.19,17.82,90.12,22.22
2002,3,18,96.79,1.88,3.08,0.52,2.55,149.31,2.84,4.17,0.58,3.59,149.62,17.94,88.88,14.95
2002,3,19,96.83,1.99,2.96,1.37,1.59,84.75,2.94,3.58,2.21,1.36,84.88,17.88,91.5,32.91
2002,3,20,96.77,1.52,2.56,0.71,1.85,225.31,2.21,2.9,0.79,2.11,209.75,18.19,88.06,6.47
2002,3,21,96.66,2.03,4.05,0.47,3.59,220.56,2.91,4.63,0.86,3.77,234.38,19.04,91.38,13.24
2002,3,22,96.62,1.45,2.74,0.4,2.34,124.69,2.03,3.19,0.55,2.63,126.5,18.43,84.25,17.53
2002,3,23,96.6,2.42,4.98,0.3,4.67,117.31,3.23,5.64,0.49,5.14,100.81,18.55,90.94,1.9
2002,3,24,96.55,1.35,2.34,0.4,1.94,65.31,1.97,3.62,0.46,3.16,65.81,18.31,85.5,0.8
2002,3,25,96.58,2.66,3.86,1.45,2.41,100.19,3.79,4.45,2.74,1.72,115.62,18.68,88.69,0.78
2002,3,26,96.65,2.09,3.71,0.29,3.43,167.06,2.96,4.17,0.52,3.65,152,18.37,90,5.01
2002,3,27,96.65,1.59,2.62,0.12,2.49,236.75,2.4,4.23,0.34,3.88,233,17.82,86.69,13.78
2002,3,28,96.63,1.84,2.95,0.65,2.3,255,2.99,4.28,0.76,3.52,253.88,18.86,93.12,11.01
2002,3,29,96.7,2.68,3.78,1.5,2.29,310.19,4.11,4.86,3.05,1.81,309.38,19.1,95.12,15.02
2002,3,30,96.75,2.19,2.6,1.85,0.74,240.38,3.53,4.61,2.51,2.1,239.19,18.07,91.5,6.25
2002,3,31,96.73,2.69,4.09,1.11,2.97,250.5,4.16,4.8,1.92,2.88,249.94,18.31,92,26.71
2002,4,1,96.93,2.23,5.09,0.64,4.46,185.44,3.03,6.12,0.89,5.23,185.44,17.76,94.5,9
2002,4,2,96.92,2.01,3.85,0.24,3.62,288.94,2.74,4.48,0.34,4.14,288.44,17.7,91.56,14.78
2002,4,3,96.74,3,4.99,1.48,3.51,237.25,4.47,5.99,2.78,3.21,237.06,17.64,90.5,4.73
2002,4,4,96.66,3.36,5.16,2.18,2.99,236.75,5.1,6.34,4.15,2.2,236.56,17.76,91.12,1.12
2002,4,5,96.71,1.8,2.76,0.47,2.29,219.19,2.77,4.25,0.52,3.74,218.88,17.52,87.31,8.25
2002,4,6,96.84,1.43,2.44,0.46,1.97,238,2.16,3.9,0.38,3.52,252.12,17.64,86.38,3.72
2002,4,7,96.92,1.52,2.32,0.34,1.98,142.81,2.25,3.02,0.43,2.58,144.12,17.58,90.19,16.37
2002,4,8,96.87,1.73,2.98,1.06,1.91,94.5,2.55,3.5,1.62,1.88,95.06,18.13,86.19,17.42
2002,4,9,96.78,2.7,4.34,1.41,2.93,167.12,3.85,5.38,2.26,3.13,152.44,18.37,88.88,14.18
2002,4,10,96.76,2.17,3.41,0.98,2.43,53.62,3.12,3.98,1.68,2.3,54.56,17.88,89.5,0.85
2002,4,11,96.74,2.47,3.36,1.59,1.77,77.31,3.66,4.25,2.77,1.48,77.75,18.01,87.31,0
2002,4,12,96.78,1.75,2.66,1.17,1.48,112.19,2.41,2.96,1.95,1.02,127.44,18.68,89.5,8.1
2002,4,13,96.73,1.96,2.96,1,1.96,299.81,2.8,3.31,1.53,1.78,297.5,18.43,88.31,10.17
2002,4,14,96.74,1.46,2.35,0.63,1.72,156.44,2.19,2.94,0.68,2.27,156,17.58,86.38,0.28
2002,4,15,96.82,1.84,2.55,1.02,1.52,47.44,2.59,3.17,1.55,1.62,48.75,18.13,89.19,1.49
2002,4,16,96.79,2.06,3.19,1.37,1.82,58,3.08,3.85,2.19,1.66,58.69,17.94,89.31,8.51
2002,4,17,96.73,2.12,2.79,1.43,1.35,83.38,3.19,4.34,2.27,2.08,83.19,17.76,90.19,4.29
2002,4,18,96.71,2.09,3.05,1.48,1.57,87.06,2.98,3.38,2.51,0.87,88.56,18.01,89.44,14.73
2002,4,19,96.75,1.55,2.08,1.05,1.04,77.69,2.18,2.82,1.59,1.23,78.31,18.55,89,8.46
2002,4,20,96.71,1.73,2.65,1.13,1.52,30.38,2.48,2.96,1.84,1.12,31.31,19.1,91.94,27.94
2002,4,21,96.62,1.28,1.86,0.62,1.23,122.06,1.98,2.89,0.61,2.29,106.88,18.68,92.56,13.51
2002,4,22,96.58,1.7,2.11,1.39,0.72,91.56,2.62,3.73,2,1.73,91.81,18.68,92.25,3.63
2002,4,23,96.65,1.91,2.62,1.12,1.49,45.5,2.91,4.01,1.7,2.3,46.44,18.74,92.62,12.85
2002,4,24,96.59,1.65,2.73,0.63,2.09,64.62,2.26,3.42,0.9,2.52,65.5,18.92,91.44,14.11
2002,4,25,96.56,1.78,2.46,1.23,1.23,57.94,2.71,3.53,1.89,1.64,58.81,18.98,92.62,12.71
2002,4,26,96.6,2.42,3.93,1.58,2.36,65.31,3.46,4.41,2.48,1.93,65.69,18.92,89.75,5.07
2002,4,27,96.62,1.98,2.89,1.58,1.31,89.94,2.96,3.85,2.27,1.59,90.81,18.92,87.62,0.79
2002,4,28,96.62,2.34,3.68,1.42,2.26,97.5,3.53,5.26,2.41,2.84,98.44,17.76,84.69,1.18
2002,4,29,96.52,2.48,3.95,1.55,2.38,81.81,3.64,4.63,2.51,2.12,82.19,18.74,87.81,0.05
2002,4,30,96.48,2.23,3.45,1.01,2.45,72.88,3.12,3.98,1.52,2.46,73.62,18.31,87.44,2.08
2002,5,1,96.49,2.23,3.7,1.05,2.63,73,3.13,4.26,1.55,2.71,74,18.37,88.06,1.75
2002,5,2,96.53,2.17,3.86,1.51,2.35,73.88,3.17,4.55,1.72,2.83,75,18.49,87.69,0.06
2002,5,3,96.5,1.97,2.83,1.34,1.48,90.88,3.06,3.9,1.62,2.27,91.38,19.1,87.5,0.53
2002,5,4,96.48,2.52,3.91,1.69,2.23,83.06,3.77,4.69,3.05,1.65,83.12,19.17,91.25,0.26
2002,5,5,96.4,1.97,3.14,1.42,1.71,104.44,2.89,3.73,2.16,1.58,120.38,19.35,88.38,4.4
2002,5,6,96.39,1.34,2.25,0.79,1.46,60.06,1.95,3.15,0.78,2.37,61.44,19.35,89.38,19.81
2002,5,7,96.53,1.77,2.91,0.84,2.06,169.19,2.55,3.32,1.38,1.94,169.12,18.8,87.94,12.07
2002,5,8,96.67,1.95,2.78,1.09,1.69,69.75,2.93,3.44,1.98,1.46,70.25,18.92,90.88,4.63
2002,5,9,96.69,2.16,3.76,1,2.76,73.88,3.12,4.44,1.76,2.68,74.19,18.74,90.19,13.65
2002,5,10,96.77,1.5,2.5,0.48,2.02,130.44,2.2,3.39,0.68,2.71,159.12,18.25,91.56,2.19
2002,5,11,96.76,2.06,3.48,1.19,2.29,42.25,3,4.05,2.41,1.64,42.38,18.07,91.25,0.22
2002,5,12,96.85,1.68,2.51,0.08,2.43,150.88,2.29,3.28,0.09,3.19,150.44,17.82,86.38,4.5
2002,5,13,96.93,1.37,2.53,0.39,2.14,151,1.94,3.41,0.55,2.86,150.38,17.52,83.19,0.25
2002,5,14,96.97,1.42,2.06,0.95,1.12,149.69,1.89,2.84,0.82,2.02,151.38,18.01,84.5,0.22
2002,5,15,96.91,1.28,2.18,0.36,1.82,221.06,1.78,2.7,0.28,2.41,221.06,18.86,87.12,3.97
2002,5,16,96.87,1.65,2.84,0.42,2.41,117.31,2.57,3.29,0.68,2.61,116.62,18.86,93.56,11.61
2002,5,17,96.88,2.11,3.55,1.27,2.28,34.88,2.98,4.05,1.98,2.07,35.88,18.31,89.31,2.23
2002,5,18,96.9,1.61,2.06,1.37,0.7,73.25,2.27,3.02,1.47,1.55,75.25,16.72,81.94,0.01
2002,5,19,96.88,1.65,2.2,0.89,1.31,93.81,2.2,3.17,1.34,1.83,94.81,15.56,80.38,0
2002,5,20,96.85,1.4,2.34,0.66,1.68,136.31,1.89,3.28,0.59,2.7,136.88,15.87,81.06,0
2002,5,21,96.93,1.57,2.69,0.83,1.85,168.38,1.99,3.16,1.27,1.9,167.62,17.09,85.06,0
2002,5,22,96.98,1.72,3.35,0.45,2.9,69.62,2.16,3.57,0.63,2.94,84.62,17.27,84.88,0
2002,5,23,97.01,1.12,2.23,0.34,1.9,78.81,1.51,3.12,0.36,2.77,80.75,17.09,83.44,0
2002,5,24,96.98,1.35,2.24,0.85,1.39,75.94,1.89,2.95,0.84,2.1,77.88,17.15,82.62,0.81
2002,5,25,96.98,1.38,2.84,0.38,2.46,86.81,1.8,3.73,0.53,3.2,89,15.81,78.06,0.18
2002,5,26,96.97,1.91,2.75,1.3,1.46,86.62,2.79,3.95,1.48,2.47,87.81,15.87,81.88,1.63
2002,5,27,96.93,1.91,2.95,1.07,1.88,83,2.72,3.51,1.45,2.06,83.88,16.48,83.94,4.01
2002,5,28,96.94,2.46,4.66,1.06,3.61,61.56,3.42,5.43,1.67,3.76,61.88,17.64,87.88,0.36
2002,5,29,96.9,2.41,3.94,1.61,2.33,87.5,3.53,4.64,2.77,1.87,88.31,17.33,86.19,0.01
2002,5,30,96.88,2.44,4.12,1.33,2.79,84.12,3.46,4.79,2.23,2.57,85.38,17.33,86.25,0.06
2002,5,31,96.92,2.09,3.06,1.26,1.8,67.56,2.92,3.79,2,1.79,68.25,17.88,88,24.86
2002,6,1,96.86,1.66,2.65,0.77,1.87,56.88,2.38,3.46,1.12,2.35,57.69,17.94,87.69,2.3
2002,6,2,96.81,2.33,3.39,1.59,1.8,75,3.44,3.97,2.67,1.3,75.69,17.94,87.62,0.14
2002,6,3,96.78,1.58,2.33,0.88,1.44,68.31,2.25,3,1.55,1.45,70.06,17.94,87,4.89
2002,6,4,96.73,1.68,2.95,1.02,1.94,69,2.45,3.57,1.51,2.06,70.06,18.13,92.25,1.66
2002,6,5,96.77,1.92,2.79,1.16,1.63,85.88,2.77,3.27,1.76,1.52,86.62,17.82,87.56,0.3
2002,6,6,96.73,2.02,2.81,1.5,1.32,67.19,2.93,3.21,2.34,0.88,68,18.13,87.5,0.03
2002,6,7,96.73,2.07,3.7,1.32,2.37,66.56,3,4.37,2.31,2.05,67.62,18.37,86.69,0.2
2002,6,8,96.66,2.03,3.05,1.22,1.83,69.81,2.89,3.49,1.93,1.56,70.5,18.43,88.5,2.19
2002,6,9,96.65,2.79,3.87,1.8,2.06,97.31,4.24,4.94,3.4,1.54,97.94,15.87,82.69,0.04
2002,6,10,96.65,2.45,3.62,1.38,2.24,103.94,3.43,4.16,2.17,1.99,104.69,16.48,83.75,0
2002,6,11,96.66,1.77,2.52,1.34,1.18,84.75,2.51,3.15,1.55,1.59,85.5,17.58,85.88,10.56
2002,6,12,96.74,1.78,2.82,0.58,2.23,63.44,2.37,3.24,0.8,2.45,64.19,16.97,84.56,0.17
2002,6,13,96.67,1.75,2.91,0.6,2.3,146.5,2.38,3.41,0.82,2.59,131.5,17.46,86.62,8.54
2002,6,14,96.62,1.4,1.95,0.88,1.06,80.06,2.13,3.32,1.34,1.98,80.94,18.19,91.31,9.57
2002,6,15,96.68,1.51,2.28,0.92,1.36,49,2.14,3.16,1.4,1.77,49.62,17.46,85.75,0.1
2002,6,16,96.8,1.14,2.15,0.27,1.88,130.69,1.48,2.86,0.3,2.57,132.38,15.99,80.25,0
2002,6,17,96.87,1.34,2.26,0.09,2.16,190.38,2.01,4.16,0.14,4.02,185.12,16.24,81.88,0.01
2002,6,18,96.88,1.5,3.05,0.23,2.83,121.06,2.33,4.48,0.38,4.1,120.56,15.99,81.12,0
2002,6,19,96.87,2.02,3.23,0.94,2.29,102.88,2.84,4.17,1.31,2.86,103.56,15.44,80.69,0.04
2002,6,20,96.85,2.09,3.22,0.98,2.23,83.31,2.95,4.2,1.55,2.66,83.44,16.54,86.56,2.86
2002,6,21,96.83,1.43,2.56,0.19,2.38,170,2.19,4.2,0.27,3.94,170.75,16.54,82.88,15.26
2002,6,22,96.9,1.77,3.4,0.74,2.66,96.25,2.73,5.56,0.8,4.76,97.69,15.87,82.31,0.19
2002,6,23,96.97,2.38,3.17,1.82,1.35,97.88,3.59,4.84,2.65,2.19,98.88,15.56,82,0
2002,6,24,97.07,1.77,2.71,0.94,1.77,98.31,2.53,3.94,1.38,2.55,99.69,15.62,81,0.11
2002,6,25,97.07,1.93,2.81,1.28,1.53,73.25,2.81,3.97,1.98,1.98,73.94,16.97,85.62,0.44
2002,6,26,97.04,1.2,2.3,0.09,2.21,141.94,1.75,2.83,0.2,2.62,139.81,17.58,86.25,6.04
2002,6,27,97,1.59,2.64,0.88,1.76,74.31,2.38,3.89,1.38,2.51,75.12,16.85,84.69,0.42
2002,6,28,97.06,1.56,2.66,0.63,2.04,163.94,2.33,4.3,0.78,3.53,162.19,15.93,82.44,0
2002,6,29,97.05,1.87,3.6,0.18,3.42,214.62,2.76,5.35,0.32,5.03,212.56,14.71,81.06,0
2002,6,30,96.88,1.18,2.2,0.48,1.72,135.06,1.58,2.57,0.66,1.91,136.12,15.56,82.62,0
2002,7,1,96.9,1.47,2.15,0.62,1.53,67,1.98,2.91,0.87,2.03,69.44,16.24,83.94,0
2002,7,2,97.05,1.55,2.65,1.13,1.52,77.12,2.2,3.18,1.38,1.8,78.31,16.11,83.56,0
2002,7,3,97.06,1.97,2.94,0.95,1.99,82.69,2.84,4.2,1.5,2.69,83.88,15.26,83.56,0
2002,7,4,97.03,1.91,3.08,0.72,2.36,93.81,2.72,3.61,1.15,2.46,94.75,15.44,82.88,0
2002,7,5,97.03,1.55,2.61,0.2,2.41,128.56,2.32,3.79,0.3,3.49,128.56,15.62,83.56,0.02
2002,7,6,96.93,1.13,1.7,0.2,1.5,191.88,1.58,2.87,0.42,2.44,205.5,16.72,85.94,1.42
2002,7,7,96.9,1.36,2.91,0.37,2.55,86.06,1.94,3.48,0.7,2.77,73.19,17.46,88.12,13.08
2002,7,8,96.9,1.45,2.04,0.98,1.05,68.25,2.14,3.13,1.58,1.55,70.25,17.64,88.19,6.7
2002,7,9,96.84,1.86,2.55,1.06,1.48,64.12,2.74,3.78,1.59,2.2,64.94,17.4,85.94,20.35
2002,7,10,96.84,1.16,1.82,0.21,1.61,118.19,1.86,3.47,0.13,3.34,123.06,17.58,86.12,17.2
2002,7,11,96.82,2.09,3.62,1.09,2.54,94.88,3.16,4.4,1.86,2.54,96.5,16.72,84.56,1.52
2002,7,12,96.94,1.45,2.84,0.25,2.59,152.25,2.12,3.52,0.48,3.04,154.5,16.78,85.12,0.14
2002,7,13,96.88,2.38,4.25,1.27,2.98,120.62,3.59,5.14,2.31,2.83,120.94,16.91,85.94,6.1
2002,7,14,96.9,1.63,3.01,1.2,1.82,108.56,2.53,3.77,1.29,2.47,109.56,16.72,88.88,5.3
2002,7,15,96.91,1.82,2.7,1.25,1.45,73.75,2.73,3.55,2.35,1.2,73.75,16.78,90.44,9.47
2002,7,16,96.92,1.95,3.92,0.57,3.35,74.31,2.77,4.6,0.99,3.61,75.19,17.09,87.38,13.04
2002,7,17,96.93,1.34,2.62,0.27,2.34,117.62,2.06,3.59,0.37,3.21,117.81,17.46,88.44,5.49
2002,7,18,96.94,1.34,2.41,0.77,1.63,297.75,2.01,3.08,1.35,1.73,295.44,17.64,91.12,6.52
2002,7,19,97.06,1.32,2.34,0.51,1.84,177.19,2.13,3.66,0.81,2.84,175.81,17.03,85.31,6.51
2002,7,20,97.02,1,2.01,0.17,1.84,225.44,1.38,2.34,0.41,1.94,224.56,17.33,86.12,2.57
2002,7,21,96.95,1.48,2.95,0.44,2.51,142.31,2.16,3.52,0.95,2.58,128.69,17.4,88.25,7.22
2002,7,22,97.04,1.59,2.21,1.08,1.14,76.31,2.33,2.82,1.68,1.14,77.69,16.05,84.38,0.48
2002,7,23,97.11,1.74,3.55,0.92,2.63,107.38,2.42,4.16,1.09,3.07,109.19,16.3,84.25,0.08
2002,7,24,97.1,2.1,2.98,1.29,1.69,99.69,3.03,3.45,2.29,1.16,100.94,16.85,85.56,0.87
2002,7,25,96.96,1.88,3.77,0.26,3.52,111.5,2.81,5.26,0.34,4.92,113,15.75,82.06,0.02
2002,7,26,96.89,2.02,3.27,0.8,2.46,94.69,2.96,4.34,0.84,3.51,95.44,15.44,84,0
2002,7,27,96.88,1.95,3.49,0.95,2.55,96.44,2.88,4.4,1.48,2.92,98.38,15.56,82.81,0
2002,7,28,96.88,2.03,3.73,0.59,3.14,82.81,2.91,4.48,0.87,3.61,84.62,15.44,82.12,0
2002,7,29,96.85,1.7,2.78,0.85,1.94,67.25,2.33,3.61,0.81,2.8,68.19,16.05,83.5,3.75
2002,7,30,96.83,1.74,2.96,0.76,2.21,77.5,2.24,3.37,1.09,2.27,78.69,16.24,84.81,2.48
2002,7,31,96.78,2.52,4.35,1.44,2.92,94,3.52,5.12,2.18,2.94,94.88,16.85,86.94,0.07
2002,8,1,96.77,2.45,3.73,1.44,2.3,77.25,3.49,4.39,2.59,1.8,78.31,17.4,87.56,0.02
2002,8,2,96.79,2.17,3.62,1.38,2.23,68.5,3.26,4.38,2.09,2.29,68.94,16.54,85,1.11
2002,8,3,96.84,1.84,3.68,0.5,3.19,112.81,2.59,4.32,0.95,3.38,129,16.11,83.69,0.42
2002,8,4,96.9,1.55,3.56,0.15,3.41,128.25,2.24,4.26,0.27,3.98,129.88,15.75,81.94,0.07
2002,8,5,96.94,1.56,2.94,0.39,2.55,97.69,2.38,3.44,0.51,2.93,99.88,15.26,80.62,0.01
2002,8,6,96.96,1.91,3.29,0.61,2.68,84.31,2.73,5,0.83,4.17,85.88,14.1,77.56,0
2002,8,7,96.99,2.22,3.01,1.15,1.86,92.38,3.02,4.07,1.59,2.48,93.56,14.89,81.12,0.62
2002,8,8,96.94,1.77,2.42,1.24,1.18,63.75,2.49,2.99,1.66,1.33,64.88,16.6,86.19,1.91
2002,8,9,96.88,1.59,2.44,0.83,1.61,68.38,2.24,3.2,1.28,1.91,69.19,17.46,86.88,7.49
